First,Last,String1,Date1,Date2,Date3,Date4,Date5,Date6,Integer1,Integer2,Integer3,String2,String3,Time1,Time2,Time3,Time4
Bolden,Littel,M,22/12/2019,2017/03/20,08-20-2016,02/08/2016 00:00:00,1971-12-10 05:00:00,11/12/1971 23:00,"$1,055,741.66",187,0,Entregado por Facturar,Product Number: CçB?-81369386-¿*D/,04:51:31,04:28:04 AM,03:35,041512
Besse,Purdy,F,15/10/2016,2018/11/12,02-02-2019,18/10/2019 00:00:00,1971-11-26 15:00:00,04/01/1972 05:00,"$1,985,919.26",170,1,Entregado por Facturar,Product Number: ¿!!/-27058308-FªDD,04:48:26,03:45:14 AM,04:16,033151
Tonya,Kessler,F,19/04/2017,2015/11/01,08-05-2018,30/01/2017 00:00:00,1971-12-15 13:00:00,20/12/1971 21:00,"$1,251,752.62",112,1,PSE,Product Number: ?BCG-22976339-¡ªEH,03:41:50,04:06:33 AM,03:28,031707
Tori,Barton,F,05/11/2015,2016/08/15,09-16-2016,17/07/2015 00:00:00,1972-01-11 05:00:00,03/12/1971 07:00,"$1,756,088.46",197,1,Efectivo,Product Number: ç!FB-56286983-?HFG,03:46:47,03:30:46 AM,03:51,045601
Johnson,Oberbrunner,F,04/07/2017,2018/05/02,12-15-2016,03/04/2017 00:00:00,1971-11-17 12:00:00,12/12/1971 05:00,"$1,906,302.04",128,1,Efectivo,Product Number: *!#A-70464617-A!Dª,04:47:08,04:39:28 AM,03:25,043447
Elsa,Tillman,M,28/08/2018,2018/04/20,07-18-2015,24/01/2016 00:00:00,1972-01-12 08:00:00,19/12/1971 07:00,"$1,812,356.30",140,1,Entregado por Facturar,Product Number: /AEG-68646940-EE¡C,04:31:30,03:43:45 AM,04:26,050205
Willy,Carroll,F,03/07/2016,2016/12/20,06-27-2015,01/04/2017 00:00:00,1971-12-17 14:00:00,01/01/1972 20:00,"$1,201,633.59",118,1,Entregado por Facturar,Product Number: HGA?-75631193-ç**B,04:08:06,05:03:30 AM,04:35,040529
Aleck,Runolfsdottir,F,31/12/2019,2019/01/13,12-31-2019,25/12/2016 00:00:00,1972-01-15 15:00:00,23/01/1972 04:00,"$1,340,027.68",120,1,PSE,Product Number: #¡?H-84904507-A¿¡E,03:21:16,04:18:41 AM,04:45,043833
Darrick,Upton,F,24/12/2015,2018/07/13,12-11-2017,21/11/2019 00:00:00,1972-01-15 20:00:00,24/11/1971 06:00,"$1,135,031.75",131,1,PSE,Product Number: CFª*-64123805-*GBC,04:13:35,05:03:47 AM,03:27,031508
Rocco,Prohaska,F,27/01/2017,2019/01/11,08-21-2019,12/09/2019 00:00:00,1971-12-06 18:00:00,13/01/1972 05:00,"$1,599,931.05",104,1,Entregado por Facturar,Product Number: ¿DGB-95686743-/ªç?,04:45:10,04:01:18 AM,03:58,045730
Serina,Osinski,M,20/02/2015,2016/04/01,06-22-2015,29/10/2018 00:00:00,1972-01-03 10:00:00,23/11/1971 14:00,"$1,760,308.50",172,1,PSE,Product Number: DGBH-35930560-CE#H,04:29:10,04:55:25 AM,04:17,030503
Demond,Schuppe,M,20/12/2019,2016/06/07,07-30-2019,06/06/2017 00:00:00,1971-12-30 09:00:00,24/12/1971 04:00,"$1,438,340.66",103,1,Datafono Debito,Product Number: //GH-62435951-EE¡C,03:50:07,04:39:05 AM,05:04,035604
Melville,Kunze,M,11/11/2018,2018/05/22,01-14-2017,14/03/2019 00:00:00,1971-11-28 23:00:00,25/11/1971 15:00,"$1,656,578.44",129,0,Entregado por Facturar,Product Number: çEDF-39438106-¡A*F,03:54:44,04:55:44 AM,03:26,041831
Delora,Jacobi,M,15/12/2019,2017/03/01,07-31-2015,01/03/2019 00:00:00,1971-11-20 22:00:00,29/01/1972 22:00,"$1,571,975.79",145,0,Datafono Debito,Product Number: ¡Hç*-34860225-C?¡ç,04:14:36,03:50:57 AM,03:27,045930
Dora,Crist,M,26/04/2017,2017/08/02,11-20-2018,22/08/2018 00:00:00,1972-01-03 15:00:00,10/01/1972 04:00,"$1,459,939.51",139,1,Entregado por Facturar,Product Number: G¡B!-05908329-BA?A,03:33:21,05:00:41 AM,04:30,030324
Tommy,Bergstrom,M,19/02/2018,2016/09/20,07-05-2018,25/11/2018 00:00:00,1972-01-02 02:00:00,21/11/1971 08:00,"$1,908,996.63",197,0,Datafono Tarjeta,Product Number: BDC!-23709381-çEçB,03:19:38,03:24:58 AM,03:53,042709
Tanika,Padberg,M,06/11/2016,2015/10/17,02-12-2018,03/10/2019 00:00:00,1972-01-20 04:00:00,09/01/1972 07:00,"$1,200,868.64",129,1,Datafono Debito,Product Number: #GCA-57101385-#¿GD,04:25:28,04:45:41 AM,04:51,033105
Yesenia,Donnelly,F,12/01/2015,2015/10/14,10-29-2016,28/05/2018 00:00:00,1972-01-27 09:00:00,02/01/1972 06:00,"$1,017,788.76",119,0,Efectivo,Product Number: #A*B-00220512-çHAA,04:34:32,03:56:14 AM,03:39,040902
Goldie,Wolf,F,19/09/2018,2016/11/02,03-21-2019,20/10/2019 00:00:00,1972-01-26 05:00:00,26/12/1971 09:00,"$1,642,152.13",122,1,Entregado por Facturar,Product Number: FEF¡-32733042-!BCC,03:50:10,03:30:38 AM,04:16,033413
Keven,Champlin,F,12/09/2017,2019/07/10,04-13-2018,09/09/2017 00:00:00,1971-12-17 20:00:00,21/01/1972 02:00,"$1,444,165.04",105,1,Datafono Debito,Product Number: BDA*-23211466-¿G!ª,03:21:50,04:41:01 AM,04:02,032311
Guy,Lubowitz,M,12/02/2017,2018/01/18,01-20-2019,10/03/2019 00:00:00,1971-11-19 11:00:00,27/12/1971 14:00,"$1,957,816.83",110,0,Efectivo,Product Number: /¿ª?-95385361-*¿ç¿,04:23:20,03:50:36 AM,04:27,050340
Shiela,Doyle,F,07/12/2017,2017/11/22,05-14-2015,03/06/2016 00:00:00,1971-12-15 08:00:00,21/01/1972 15:00,"$1,781,950.69",199,0,Efectivo,Product Number: ¿/¿ç-34396708-ª/BA,03:11:19,03:37:11 AM,04:55,042507
Essie,Hamill,F,01/12/2016,2017/03/16,10-31-2018,11/08/2018 00:00:00,1972-01-20 00:00:00,30/11/1971 16:00,"$1,625,815.38",178,1,Efectivo,Product Number: BFBD-33078278-B/FF,04:15:00,03:03:55 AM,04:45,031259
Jovani,Wintheiser,M,09/01/2016,2018/12/06,05-03-2017,28/08/2015 00:00:00,1971-11-23 14:00:00,16/01/1972 10:00,"$1,153,194.67",109,1,Efectivo,Product Number: DC#/-01776929-*çAF,04:04:31,03:53:28 AM,04:23,030815
Porsche,Beier,F,16/05/2016,2017/12/25,02-03-2017,01/02/2018 00:00:00,1971-12-05 14:00:00,04/01/1972 08:00,"$1,815,144.14",156,0,PSE,Product Number: CC#F-37997723-!B/G,03:45:47,03:21:27 AM,03:08,035508
Reilly,Johnson,F,04/07/2019,2017/08/30,08-26-2018,16/01/2018 00:00:00,1971-11-19 13:00:00,08/12/1971 06:00,"$1,502,084.42",125,0,Datafono Tarjeta,Product Number: #/AF-13279543-C¡GH,05:01:43,03:11:33 AM,03:09,050210
Ken,Beer,F,15/01/2016,2017/07/24,01-30-2015,11/11/2015 00:00:00,1971-11-25 16:00:00,11/01/1972 08:00,"$1,591,086.81",182,0,PSE,Product Number: ç!ªB-60790995-B¡¡ç,03:14:20,04:24:51 AM,03:26,042508
Ari,Botsford,F,14/04/2018,2016/08/11,02-24-2015,11/02/2017 00:00:00,1972-01-13 23:00:00,16/12/1971 14:00,"$1,478,395.92",186,0,Datafono Debito,Product Number: E¿?/-54792867-¡¡çD,04:42:44,03:12:33 AM,03:30,034706
Camryn,Bosco,F,04/03/2019,2016/04/01,08-04-2017,05/08/2017 00:00:00,1972-01-06 12:00:00,29/01/1972 17:00,"$1,970,529.02",160,1,Entregado por Facturar,Product Number: ¿HGA-24539032-EçCC,05:03:06,03:33:45 AM,03:44,042122
Fenton,Lang,F,02/12/2018,2015/06/20,12-13-2018,22/08/2019 00:00:00,1971-11-17 19:00:00,31/12/1971 04:00,"$1,609,176.86",147,0,PSE,Product Number: ?!DB-57729673-DHAF,03:46:50,03:18:16 AM,04:13,045609
Coty,Bradtke,F,03/04/2016,2018/11/18,12-20-2017,10/05/2017 00:00:00,1972-01-10 16:00:00,22/12/1971 02:00,"$1,547,393.54",196,0,Datafono Tarjeta,Product Number: !EAª-83803670-#ª#*,04:44:39,04:45:12 AM,03:03,044359
Ogden,DuBuque,M,15/08/2017,2019/10/14,03-24-2015,13/06/2018 00:00:00,1971-12-31 20:00:00,13/01/1972 21:00,"$1,351,321.26",135,1,Efectivo,Product Number: FE?C-67985023-¿GGC,04:15:30,04:14:19 AM,03:11,034852
Obie,Daniel,F,31/01/2016,2020/01/12,01-21-2018,05/11/2015 00:00:00,1971-12-31 07:00:00,01/12/1971 18:00,"$1,231,792.56",123,1,Tarjeta Credito,Product Number: HAB?-64336617-BªHC,04:41:40,04:58:13 AM,03:05,030954
Beula,Gibson,M,21/03/2017,2017/06/14,04-18-2019,28/06/2019 00:00:00,1971-12-30 09:00:00,24/01/1972 12:00,"$1,255,431.60",133,1,Efectivo,Product Number: ¿*ªç-41601905-E*AB,04:27:19,03:44:15 AM,03:40,045200
Luigi,Emmerich,,05/10/2019,2016/05/14,04-04-2016,03/08/2019 00:00:00,1971-11-22 06:00:00,20/01/1972 02:00,"$1,132,705.84",169,1,Tarjeta Credito,Product Number: DGDG-07456197-Fç/H,03:28:28,04:42:51 AM,04:02,031615
Aracely,Ebert,F,18/09/2015,2019/07/08,06-15-2015,02/04/2017 00:00:00,1972-01-03 08:00:00,21/12/1971 04:00,"$1,560,849.08",186,0,Datafono Debito,Product Number: EDG¿-07072835-?çEG,03:15:54,03:35:49 AM,04:57,045316
Ana,Bode,M,07/11/2017,2017/04/14,10-01-2017,14/09/2017 00:00:00,1971-12-25 10:00:00,31/01/1972 02:00,"$1,512,648.88",105,1,Efectivo,Product Number: çF/#-92306567-H!¡A,03:33:59,04:53:50 AM,05:01,040429
Gustie,Bauch,M,06/01/2018,2018/06/08,09-26-2015,15/06/2019 00:00:00,1971-12-31 10:00:00,25/01/1972 02:00,"$1,689,728.40",136,0,PSE,Product Number: ççGD-48874609-HBDA,03:51:22,03:11:46 AM,03:51,034848
Ela,Roberts,M,24/11/2017,2015/03/11,02-26-2019,15/02/2018 00:00:00,1971-11-26 22:00:00,17/12/1971 22:00,"$1,811,280.72",160,0,Entregado por Facturar,Product Number: CA#A-82024719-FEH?,03:50:54,03:20:57 AM,03:07,040035
Casper,Jones,M,15/03/2015,2016/07/30,08-22-2018,19/04/2016 00:00:00,1971-12-05 14:00:00,16/01/1972 02:00,"$1,905,040.58",188,1,Datafono Debito,Product Number: *#*!-12597916-¡*¡/,04:10:02,04:40:51 AM,03:42,044409
Erline,Haag,F,16/08/2018,2015/08/23,04-11-2019,19/02/2016 00:00:00,1972-01-16 14:00:00,21/01/1972 14:00,"$1,468,006.40",161,0,Efectivo,Product Number: #çFª-05232632-!BªD,04:17:42,04:28:18 AM,03:09,034825
Adelynn,Kirlin,M,22/01/2015,2017/08/20,03-29-2019,21/07/2015 00:00:00,1972-01-27 11:00:00,21/12/1971 07:00,"$1,367,484.95",187,0,Entregado por Facturar,Product Number: !¿GE-66456246-/HBD,04:30:16,03:25:59 AM,04:53,050405
Marvin,Stokes,M,14/12/2017,2017/11/22,12-14-2016,08/06/2016 00:00:00,1972-01-01 14:00:00,03/01/1972 20:00,"$1,848,472.20",186,1,Datafono Debito,Product Number: ªçD!-87186666-!?GF,04:48:05,04:14:52 AM,03:45,044457
Michelina,Hane,F,17/10/2017,2015/06/06,10-18-2015,10/06/2019 00:00:00,1971-11-21 11:00:00,29/01/1972 22:00,"$1,772,197.89",112,1,Efectivo,Product Number: /ª!!-96349190-Cª*H,03:07:03,04:11:23 AM,05:01,043950
Beatrice,Gleichner,F,12/08/2018,2019/10/07,11-01-2018,26/10/2018 00:00:00,1971-11-21 02:00:00,17/11/1971 03:00,"$1,678,260.02",158,1,Tarjeta Credito,Product Number: AAª¡-15033277-GBçG,04:21:39,03:54:39 AM,04:32,032443
Brandie,Labadie,F,19/01/2019,2017/10/01,01-12-2015,31/05/2019 00:00:00,1971-12-06 14:00:00,22/11/1971 15:00,"$1,997,579.12",105,0,Efectivo,Product Number: ¿*ªª-12825477-ç/¡D,03:20:56,03:39:46 AM,03:26,044545
Liller,Daugherty,M,12/03/2019,2018/11/07,01-08-2017,26/03/2018 00:00:00,1972-01-18 11:00:00,12/01/1972 17:00,"$1,542,231.38",114,0,Efectivo,Product Number: AA?#-77596306-¿¡çç,03:39:17,03:56:29 AM,04:54,030542
Myer,Mitchell,F,04/01/2016,2016/03/08,06-10-2018,07/03/2019 00:00:00,1972-01-07 12:00:00,01/12/1971 17:00,"$1,113,647.05",162,1,PSE,Product Number: CG*!-81952958-?ç#!,03:32:09,04:59:57 AM,04:17,044757
Garner,Medhurst,F,19/11/2015,2019/01/13,04-11-2018,28/04/2017 00:00:00,1971-12-19 01:00:00,20/12/1971 19:00,"$1,402,067.59",116,1,PSE,Product Number: ?G!G-04820620-*EA*,03:53:21,03:02:51 AM,04:45,032143
Elyssa,Bailey,M,12/06/2016,2018/03/20,02-25-2018,29/06/2015 00:00:00,1972-01-30 17:00:00,26/01/1972 10:00,"$1,308,267.35",172,0,PSE,Product Number: çF¿D-88631628-DECD,03:25:46,03:06:18 AM,04:44,043837
Jeanette,Konopelski,M,08/09/2015,2016/01/26,04-29-2018,17/10/2017 00:00:00,1971-12-20 12:00:00,02/12/1971 08:00,"$1,158,434.44",177,1,Tarjeta Credito,Product Number: H/HH-13196603-FA?G,03:23:46,03:52:09 AM,04:28,034547
Idell,VonRueden,F,22/02/2016,2016/02/19,11-22-2015,28/04/2019 00:00:00,1972-01-04 21:00:00,24/11/1971 17:00,"$1,200,612.21",150,1,Tarjeta Credito,Product Number: ªDBç-00343373-GDA/,03:40:21,04:03:16 AM,03:48,033840
Neveah,Kohler,M,30/08/2019,2019/09/13,02-25-2015,27/02/2015 00:00:00,1972-01-20 19:00:00,21/11/1971 01:00,"$1,762,988.82",199,0,Datafono Debito,Product Number: AFDA-67144959-BB#ç,05:00:45,04:59:36 AM,03:06,045046
Yadiel,Kautzer,M,15/12/2016,2019/05/15,07-27-2019,20/09/2018 00:00:00,1972-01-07 06:00:00,24/11/1971 15:00,"$1,489,476.57",190,1,Datafono Tarjeta,Product Number: C!A/-93005040-¡///,03:19:06,03:31:04 AM,03:46,044723
Marley,Reynolds,M,15/10/2018,2020/01/28,02-25-2016,24/10/2015 00:00:00,1972-01-22 18:00:00,08/12/1971 21:00,"$1,442,427.35",101,0,Entregado por Facturar,Product Number: DGGC-91738354-¡GGª,03:52:00,03:28:15 AM,03:53,035649
Theresia,McDermott,F,20/07/2015,2019/10/22,06-29-2015,19/03/2019 00:00:00,1971-12-05 04:00:00,24/12/1971 22:00,"$1,169,325.63",113,1,Entregado por Facturar,Product Number: AE*C-25994986-D!*¿,04:49:35,03:46:49 AM,04:03,044747
Robbin,Vandervort,F,28/06/2019,2019/04/09,08-30-2018,12/05/2016 00:00:00,1971-12-22 07:00:00,25/01/1972 21:00,"$1,818,521.44",147,1,PSE,Product Number: DGCE-31064057-*EªC,03:38:42,04:26:37 AM,04:14,040830
Sofia,Mante,F,15/11/2017,2015/06/07,09-19-2017,15/02/2018 00:00:00,1971-12-15 06:00:00,31/12/1971 01:00,"$1,027,916.87",169,1,Efectivo,Product Number: ¿D!!-42820686-/A/¡,04:41:11,03:30:24 AM,03:59,043333
Orson,Considine,M,08/07/2018,2018/02/19,06-21-2017,17/11/2017 00:00:00,1971-12-31 18:00:00,02/01/1972 01:00,"$1,752,068.91",199,0,Entregado por Facturar,Product Number: ##EA-38872112-B?¡¿,04:17:54,04:31:42 AM,04:57,033426
Latrell,Wolff,F,07/12/2016,2017/07/04,12-16-2017,21/05/2016 00:00:00,1971-11-24 00:00:00,13/01/1972 15:00,"$1,048,211.42",188,1,PSE,Product Number: #¡*H-03685920-Cç¡?,04:35:10,04:22:42 AM,04:12,042603
Makenna,Ratke,M,27/11/2019,2015/11/29,04-03-2015,30/01/2015 00:00:00,1972-01-08 07:00:00,29/12/1971 06:00,"$1,487,168.73",109,1,Efectivo,Product Number: EHDA-60492993-ççC!,05:02:54,03:32:57 AM,04:39,033406
Regan,Ward,F,14/09/2017,2016/03/06,07-03-2018,26/06/2017 00:00:00,1971-11-25 01:00:00,13/12/1971 07:00,"$1,088,960.31",106,1,Efectivo,Product Number: ¡E/ç-39946164-¿B#A,03:48:43,04:16:22 AM,03:55,032103
Mandie,Anderson,F,26/06/2019,2018/10/03,07-24-2015,10/02/2018 00:00:00,1971-12-15 12:00:00,04/01/1972 05:00,"$1,724,593.87",132,1,Efectivo,Product Number: ?*ç#-96845335-F#C!,03:36:17,03:16:38 AM,04:20,033344
Ed,Friesen,F,18/12/2017,2019/03/27,11-26-2015,12/01/2015 00:00:00,1971-12-02 09:00:00,11/01/1972 03:00,"$1,846,802.75",104,0,Datafono Debito,Product Number: HE/#-20788925-#GB!,04:02:58,03:07:31 AM,04:36,032654
Brittney,Parker,M,30/07/2015,2015/09/22,06-11-2019,29/01/2017 00:00:00,1971-12-06 22:00:00,07/12/1971 00:00,"$1,196,858.34",117,0,Datafono Tarjeta,Product Number: G¿¿C-98547484-CGCE,04:48:56,03:37:39 AM,03:46,045921
Mary,Johns,M,08/05/2019,2019/01/11,03-06-2018,04/07/2017 00:00:00,1971-12-02 23:00:00,11/12/1971 06:00,"$1,129,446.97",173,0,PSE,Product Number: BEBB-99795293-!?F!,03:44:23,04:32:52 AM,04:46,035252
Beatriz,Heathcote,M,11/07/2015,2020/01/27,12-04-2019,12/05/2019 00:00:00,1971-12-29 14:00:00,18/12/1971 20:00,"$1,422,792.93",124,0,Datafono Debito,Product Number: D¡*#-39461330-D/çG,04:37:11,03:48:41 AM,04:44,040610
Emil,Little,F,19/10/2015,2016/07/03,04-19-2017,08/02/2016 00:00:00,1971-11-21 20:00:00,28/11/1971 01:00,"$1,492,451.34",168,1,Tarjeta Credito,Product Number: !¿¡G-94100613-ªBG*,03:57:42,03:13:29 AM,04:56,041022
Tristin,Kerluke,F,03/09/2015,2018/12/24,02-08-2019,14/10/2018 00:00:00,1972-01-03 20:00:00,18/11/1971 13:00,"$1,591,679.04",110,1,Datafono Debito,Product Number: C#?B-39202848-ç¡BF,04:28:51,03:33:01 AM,04:57,043539
Elsie,O'Keefe,M,29/08/2016,2016/12/18,09-29-2017,03/09/2017 00:00:00,1971-12-14 11:00:00,08/01/1972 10:00,"$1,420,647.94",162,1,Efectivo,Product Number: EC¡?-49168708-#¿¿G,03:50:39,03:40:00 AM,04:34,045535
Carmine,West,M,17/07/2018,2016/01/23,10-12-2018,04/10/2018 00:00:00,1972-01-31 09:00:00,23/12/1971 21:00,"$1,599,120.56",157,0,Datafono Tarjeta,Product Number: ª#¡H-63184116-GçEA,03:10:39,04:34:36 AM,04:18,045026
Ellison,Glover,M,27/01/2016,2018/04/05,12-05-2018,03/01/2020 00:00:00,1971-11-21 08:00:00,11/01/1972 01:00,"$1,902,223.02",196,0,Tarjeta Credito,Product Number: #BGA-89590085-¿¿DD,04:41:41,03:25:48 AM,04:52,033618
Tuan,Volkman,M,11/04/2015,2018/06/04,07-11-2016,19/11/2019 00:00:00,1972-01-24 20:00:00,29/12/1971 00:00,"$1,115,031.33",146,0,Datafono Debito,Product Number: GDC¿-86754868-*G¡¡,03:20:25,04:38:46 AM,03:23,041225
Ila,Hickle,M,13/12/2018,2015/06/18,04-09-2016,21/02/2019 00:00:00,1971-12-09 15:00:00,15/01/1972 02:00,"$1,548,831.93",174,0,PSE,Product Number: CHHA-26669253-H¿CD,04:57:55,04:27:00 AM,04:06,043119
Ivette,Hessel,M,11/11/2015,2015/09/11,01-17-2018,04/09/2018 00:00:00,1972-01-28 10:00:00,10/01/1972 05:00,"$1,698,026.76",137,0,Entregado por Facturar,Product Number: Dç¿A-55750106-BCDD,04:42:48,04:09:07 AM,03:05,045452
Alf,O'Reilly,M,27/10/2017,2019/06/17,11-11-2019,24/12/2019 00:00:00,1972-01-07 05:00:00,24/01/1972 05:00,"$1,405,619.31",144,0,Datafono Tarjeta,Product Number: /GªE-36656723-EE*F,03:41:30,04:21:11 AM,03:17,044918
Authur,Hand,M,02/02/2016,2015/02/15,01-16-2016,04/04/2019 00:00:00,1972-01-20 21:00:00,12/01/1972 06:00,"$1,049,453.39",138,1,Efectivo,Product Number: ?¿ªH-81824386-CBA/,03:36:09,03:20:20 AM,03:26,040350
Reilly,Schulist,M,04/04/2016,2016/05/30,04-07-2018,24/02/2015 00:00:00,1971-12-14 02:00:00,07/12/1971 20:00,"$1,688,467.40",193,1,Datafono Debito,Product Number: FD#C-16451518-FGAª,04:43:45,03:29:22 AM,04:03,040312
Hollie,Keebler,M,18/11/2016,2018/10/28,07-14-2016,12/07/2019 00:00:00,1971-12-09 21:00:00,28/11/1971 18:00,"$1,180,965.02",133,0,Entregado por Facturar,Product Number: D#!/-67513419-EGç*,03:46:35,04:41:03 AM,04:25,041905
Adonis,Friesen,M,05/02/2015,2019/01/26,01-17-2017,26/09/2018 00:00:00,1972-01-18 10:00:00,23/12/1971 07:00,"$1,701,412.84",174,1,Entregado por Facturar,Product Number: ¡DEB-53704097-ªE/*,04:44:29,03:33:53 AM,04:01,035902
Eudora,Beatty,M,05/12/2015,2019/01/01,07-09-2017,09/06/2019 00:00:00,1972-01-02 10:00:00,27/12/1971 09:00,"$1,875,846.84",149,0,Efectivo,Product Number: çFDª-84745190-G¡BC,04:32:38,03:35:08 AM,03:48,045212
Lidia,Schaden,M,16/10/2018,2017/09/23,07-02-2017,14/07/2015 00:00:00,1972-01-12 15:00:00,04/01/1972 08:00,"$1,129,254.16",128,0,Datafono Debito,Product Number: ?ç¡ç-31844021-¡!H¡,03:54:51,03:29:28 AM,03:03,031744
Rylan,Rolfson,F,14/01/2020,2016/12/11,12-04-2017,25/11/2015 00:00:00,1971-12-29 23:00:00,30/01/1972 20:00,"$1,749,117.24",145,1,Entregado por Facturar,Product Number: EçHF-38380464-EE¡!,04:30:19,04:37:31 AM,03:26,035048
Mercedes,Schoen,F,25/05/2019,2019/12/25,01-05-2016,22/12/2016 00:00:00,1971-12-13 13:00:00,10/12/1971 06:00,"$1,397,288.01",199,0,Efectivo,Product Number: *çE¿-04076890-C¡¡¿,03:42:28,03:45:55 AM,03:28,040331
Grafton,Welch,O,09/08/2019,2017/01/11,05-18-2018,02/04/2017 00:00:00,1972-01-09 13:00:00,19/01/1972 07:00,"$1,489,474.79",136,1,Entregado por Facturar,Product Number: C¡#¿-08433976-¿?EE,03:22:33,04:48:07 AM,03:10,030746
Precious,Brakus,M,21/12/2017,2016/03/24,12-14-2016,15/07/2016 00:00:00,1971-12-27 20:00:00,26/01/1972 19:00,"$1,773,083.19",186,0,PSE,Product Number: F¿ç¿-16378625-/¡ªC,03:44:52,03:07:01 AM,03:17,041017
Keshawn,Pfeffer,,01/06/2017,2018/12/19,05-21-2016,27/05/2019 00:00:00,1972-01-24 00:00:00,05/01/1972 02:00,"$1,553,295.21",152,0,Tarjeta Credito,Product Number: ç¡E#-21481736-EE#ª,03:25:49,03:12:00 AM,04:41,040402
Jaimee,Davis,F,05/09/2018,2015/11/02,09-27-2018,19/05/2018 00:00:00,1971-12-11 07:00:00,13/12/1971 12:00,"$1,473,304.69",175,0,Tarjeta Credito,Product Number: Aç#A-08644724-#/F¡,03:24:37,04:02:19 AM,04:04,040406
Baby,Bartoletti,F,26/08/2016,2019/03/22,09-23-2015,29/07/2015 00:00:00,1971-12-09 17:00:00,18/01/1972 12:00,"$1,337,613.83",176,0,Tarjeta Credito,Product Number: ?*#H-54681736-/?#D,04:46:45,04:54:39 AM,03:05,044106
Latanya,Stiedemann,M,08/02/2016,2015/02/06,04-07-2018,29/06/2016 00:00:00,1971-12-20 04:00:00,13/01/1972 11:00,"$1,336,903.29",166,1,Datafono Debito,Product Number: ª*C¡-33057107-???A,04:24:16,04:07:22 AM,05:03,043147
Ivette,Boyle,M,17/09/2019,2019/02/08,10-03-2018,19/08/2019 00:00:00,1972-01-30 00:00:00,04/12/1971 19:00,"$1,977,647.35",104,1,Entregado por Facturar,Product Number: ?¿#¡-33267835-EC¿C,04:48:57,03:07:57 AM,03:17,032622
Estevan,Littel,M,12/11/2015,2015/08/19,11-30-2015,31/07/2017 00:00:00,1972-01-14 13:00:00,24/12/1971 19:00,"$1,378,654.35",152,1,Datafono Tarjeta,Product Number: !C¡/-62768052-*FFA,03:58:08,03:55:59 AM,04:03,045820
Cicero,Kreiger,F,05/04/2015,2015/02/26,04-14-2019,25/07/2017 00:00:00,1971-12-07 22:00:00,23/12/1971 07:00,"$1,605,815.06",191,1,Datafono Tarjeta,Product Number: ¿ED*-74464003-Bª!¿,03:45:40,04:50:35 AM,04:07,033520
